blk	cat	idx	entry_off	flag	text_off	seg_size	참조여부	cond1_ptr	cond1_raw	탑승자	cond2_ptr	cond2_raw	cond2_items	그룹키	분류	JP본문	KR본문
364	0	18	0x00B8	0x0000	0x0D5A	25	참조됨	0x0B3C	02 00 26 01 28 01	카티아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	！いくわよ、カティア！‖7c‖・ええ、いつでもいいわ！‖78‖	！간다，\n카티아！‖7c‖・응，　언제든\n좋아！‖78‖
364	0	19	0x00C0	0x0000	0x0D73	25	참조됨	0x0B42	02 00 26 01 29 01	테니아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	！いくわよ、テニア！‖7c‖・うん、いつでもいいよ！‖78‖	！간다，\n테니아！‖7c‖・응，　언제든\n좋아！‖78‖
364	0	20	0x00C8	0x0000	0x0D8C	26	참조됨	0x0B48	02 00 26 01 2a 01	멜루아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	！いくわよ、メルア！‖7c‖・はいっ、いつでもいいです！‖78‖	！간다，\n멜루아！‖7c‖・네，　언제든\n좋아요！‖78‖
364	0	21	0x00D0	0x0000	0x0DA6	29	참조됨	0x0B3C	02 00 26 01 28 01	카티아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	！こっちから仕掛ける！\nいいわねカティア！‖7c‖・ええ！‖78‖	！이쪽에서\n공격한다！　됐지　카티아！‖7c‖・응！‖78‖
364	0	22	0x00D8	0x0000	0x0DC3	29	참조됨	0x0B42	02 00 26 01 29 01	테니아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	！こっちから仕掛ける！\nいいわねテニア！‖7c‖・うん！‖78‖	！이쪽에서\n공격한다！　됐지　테니아！‖7c‖・응！‖78‖
364	0	23	0x00E0	0x0000	0x0DE0	28	참조됨	0x0B48	02 00 26 01 2a 01	멜루아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	！こっちから仕掛ける！\nいいわねメルア！‖7c‖・はい！‖78‖	！이쪽에서\n공격한다！　됐지　멜루아！‖7c‖・네！‖78‖
364	0	24	0x00E8	0x0000	0x0DFC	21	참조됨	0x0B3C	02 00 26 01 28 01	카티아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	・[7d]！‖7c‖！いけるわ、任せなさい！\n[7f]！‖78‖	・[7d]！‖7c‖！돼，　맡겨라！\n[7f]！‖78‖
364	0	25	0x00F0	0x0000	0x0E11	21	참조됨	0x0B42	02 00 26 01 29 01	테니아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	・[7d]！‖7c‖！いけるわ、任せなさい！\n[7f]！‖78‖	・[7d]！‖7c‖！돼，　맡겨라！\n[7f]！‖78‖
364	0	26	0x00F8	0x0000	0x0E26	23	참조됨	0x0B48	02 00 26 01 2a 01	멜루아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	・[7d]さん！‖7c‖！いけるわ、任せなさい！\n[7f]！‖78‖	・[7d]\n씨！‖7c‖！돼，　맡겨라！\n[7f]！‖78‖
364	0	27	0x0100	0x0000	0x0E3D	31	참조됨	0x0B3C	02 00 26 01 28 01	카티아	0x0B38	01 00 26 01	['0x0126']	cat0/f0x0000/c2-0x0B38	A	・このまま行くわ！\nいいわね！？‖7c‖！聞くまでもない！\n[7f]！‖78‖	・이대로　간다！\n괜찮지！？‖7c‖！물을　것까지도\n없다！　[7f]！‖78‖
